% 1. Title: Simple NERD selector 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 23-11-2018 11:23:17 
%
@RELATION @NERD_Simple_NERD_selector 
@attribute nerd_score REAL
@attribute prob_anchor_string REAL
@attribute prob_c REAL
@attribute dice REAL
@attribute tf_idf REAL
@attribute nb_tokens NUMERIC
@attribute inContext {false, true}
@attribute isNe {false, true}
@attribute entity? REAL

@data

0.1787190625,0.005623742867698371,0.22448979591836735,0.0028221641353477996,4326.4356963999835,1,false,false,0.0
0.1787190625,0.0019967466136256756,0.24825174825174826,5.284507416093526E-5,0.0,1,true,false,1.0
0.6836073676404639,1.8919685933213508E-5,0.5,3.24719957044117E-5,49.85162236306877,1,false,false,0.0
0.9999999999927269,0.04657534246575343,0.8235294117647058,0.016064954024286742,14437.849315068494,1,true,false,1.0
0.9999999963531946,0.004177255641958212,0.6791171477079796,2.3229265553902832E-5,160.3888119550165,1,false,false,0.0
0.9999999999927269,0.4371859296482412,0.979381443298969,0.007709256441926193,52962.9648241206,1,true,true,1.0
0.9999999963531946,0.0027574515568335443,0.6192170818505338,4.044330766262361E-5,113.08373210875303,1,false,false,0.0
0.1787190625,0.18228414540657145,0.12693386410929158,1.963170286775429E-5,140.92675295501954,1,true,true,1.0
0.0,0.18228414540657145,0.07649506921197864,1.963170286775429E-5,140.92675295501954,1,false,true,0.0
0.9999999999927269,0.7968561064087062,0.9932432432432432,0.8257071298884097,4248.13784764208,3,true,true,1.0
0.919475606099594,0.1605911330049261,0.4875947622329428,1.4184371651960217E-4,648.9919950738916,1,true,false,0.0
0.8951635279527103,0.2156465342521281,0.4829821717990275,5.72571326717896E-4,6408.368463721119,1,false,true,1.0
0.05,0.2156465342521281,0.22204213938411668,5.72571326717896E-4,6408.368463721119,1,false,true,0.0
0.9999999999927269,0.4371859296482412,0.979381443298969,0.007709256441926193,52962.9648241206,1,true,true,1.0
0.9999999963531946,0.0027574515568335443,0.6192170818505338,4.044330766262361E-5,113.08373210875303,1,false,false,0.0
0.1787190625,0.18228414540657145,0.12693386410929158,1.963170286775429E-5,140.92675295501954,1,true,true,1.0
0.0,0.18228414540657145,0.07649506921197864,1.963170286775429E-5,140.92675295501954,1,false,true,0.0
0.9999999999927269,0.7968561064087062,0.9932432432432432,0.8257071298884097,4248.13784764208,3,true,true,1.0
0.919475606099594,0.1605911330049261,0.4875947622329428,1.4184371651960217E-4,648.9919950738916,1,true,false,0.0
0.8951635279527103,0.2156465342521281,0.4829821717990275,5.72571326717896E-4,6408.368463721119,1,false,true,1.0
0.05,0.2156465342521281,0.22204213938411668,5.72571326717896E-4,6408.368463721119,1,false,true,0.0
0.1787190625,0.23938916494970305,0.29619641030410115,5.246312623482229E-5,383.212822688159,1,true,true,1.0
0.0,0.23938916494970305,0.2668092625313866,5.246312623482229E-5,383.212822688159,1,false,true,0.0
0.9999999999927269,0.43704245973645683,0.9855072463768116,0.035247110533148,3857.8440702781845,3,true,true,1.0
0.9999999963531946,0.22373936464334765,0.7931713800837853,8.87887967799259E-6,15.666348572142054,1,false,false,0.0
0.9999999999927269,0.5689655172413793,1.0,0.012096584304594043,90858.87931034483,1,true,true,1.0
0.0,0.37583892617449666,0.08639308855291576,9.571119065044111E-4,2357.8590604026845,1,false,true,0.0
0.9999999999927269,0.6910569105691057,0.9270833333333334,0.010196068900391809,42844.0243902439,1,false,true,1.0
0.0,0.6910569105691057,0.07291666666666667,0.010196068900391809,42844.0243902439,1,false,true,0.0
0.9999999999927269,0.3805255023183926,0.7957118766562274,2.286604321142438E-4,543.0,1,false,true,1.0
0.0,0.3805255023183926,0.07203083594314623,2.286604321142438E-4,543.0,1,false,true,0.0
0.2262190625,0.6289198606271778,0.4143920595533499,0.0033075839174620215,9180.86236933798,1,false,true,1.0
0.1787190625,0.6289198606271778,0.3002481389578164,0.0033075839174620215,9180.86236933798,1,false,true,0.0
0.05468003951709053,0.0012733014159111745,0.46115288220551376,1.844228232824726E-5,0.0,1,true,false,1.0
0.9999999963531946,0.0012615042350499319,0.8669724770642202,2.3418270259911837E-5,65.4964920239375,1,false,false,0.0
0.9999999999927269,0.7938144329896907,1.0,0.3997946062968366,54327.989690721646,5,true,true,1.0
0.9926211774126411,0.223920130399348,0.5297872340425532,3.8962958133269374E-4,2147.4388753056237,1,false,false,0.0
0.9999999963531946,0.5325103483644089,0.8922847780756628,1.0,193.04058756731015,3,false,true,1.0
0.0,0.5325103483644089,0.0763777182007745,1.0,193.04058756731015,3,false,true,0.0
0.9999999999927269,0.5163934426229508,0.7943262411347518,0.006308549630631548,21597.602459016394,1,false,true,1.0
0.0,0.5163934426229508,0.16312056737588654,0.006308549630631548,21597.602459016394,1,false,true,0.0
0.9999999999927269,0.6033857315598549,0.7938671209540034,0.0019148960861764732,6372.206771463119,1,false,true,1.0
0.0,0.6033857315598549,0.14991482112436116,0.0019148960861764732,6372.206771463119,1,false,true,0.0
0.9999999999927269,0.5794392523364486,0.8848920863309353,0.03810899436932787,24625.303738317758,3,false,true,1.0
0.0,0.5794392523364486,0.11510791366906475,0.03810899436932787,24625.303738317758,3,false,true,0.0
0.9999999999927269,0.5622895622895623,0.8109243697478992,0.004160274760518039,17743.484848484848,1,false,true,1.0
0.0,0.5622895622895623,0.07563025210084033,0.004160274760518039,17743.484848484848,1,false,true,0.0
0.9999999999927269,0.5448028673835126,0.8165680473372781,0.004892769244784806,18888.225806451614,1,false,true,1.0
0.0,0.5448028673835126,0.07100591715976332,0.004892769244784806,18888.225806451614,1,false,true,0.0
