% 1. Title: Simple NERD selector 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 16-01-2018 16:35:44 
%
@RELATION @NERD_Simple_NERD_selector 
@attribute nerd_score REAL
@attribute prob_anchor_string REAL
@attribute dice REAL
@attribute tf_idf REAL
@attribute nb_tokens NUMERIC
@attribute inContext {false, true}
@attribute isNe {false, true}
@attribute entity? REAL

@data

0.9988870180331798,0.10381700054141851,2.7528359274936053E-4,0.0,1,false,false,0.0
0.9988870180331798,0.9418604651162791,0.9538651811652821,0.0,5,true,false,1.0
0.9961513762243807,0.027327070879590094,0.0015505986112105366,0.0,1,false,false,0.0
0.41422045622835935,0.3333333333333333,0.10946545296872044,0.0,3,true,false,1.0
0.15554353358746953,0.007642549665062959,7.503364327853048E-5,0.0,1,true,false,0.0
1.0212753882088084,0.062146892655367235,0.0023217284066760395,0.0,1,false,false,1.0
0.0,0.062146892655367235,0.0023217284066760395,0.0,1,false,false,0.0
0.9988870180331798,0.9418604651162791,0.9538651811652821,0.0,5,true,false,1.0
0.9988870180331798,0.02017496875557936,3.155022071553142E-4,0.0,1,false,false,0.0
1.0212753882088084,0.41935483870967744,0.02607406124956444,0.0,1,true,false,1.0
1.0212753882088084,0.0033319380493930513,7.021625044705817E-5,0.0,1,false,false,0.0
0.998862737657172,0.19202898550724637,0.23604556090699202,0.0,7,true,false,1.0
0.9999960257825915,0.02315369261477046,6.264585376028779E-4,0.0,1,false,false,0.0
0.03204535141156983,0.16279069767441862,0.25868424755263625,0.0,3,false,false,1.0
0.0,0.16279069767441862,0.25868424755263625,0.0,3,false,false,0.0
1.0000110173947996,0.9629629629629629,1.0,0.0,7,true,false,1.0
0.03204535141156983,0.006645215444879686,2.1534191611771172E-4,0.0,1,false,false,0.0
0.15554353358746953,0.033751205400192864,9.56661573008318E-4,0.0,1,false,false,1.0
0.0,0.033751205400192864,9.56661573008318E-4,0.0,1,false,false,0.0
0.9999984846350941,0.3489260143198091,8.02559682430788E-4,0.0,1,true,false,1.0
0.0,0.010398613518197574,0.0019530622945778714,0.0,1,false,false,0.0
0.9999999999927269,0.75,0.007251240756715245,0.0,3,true,false,1.0
0.0,0.012811476429371036,5.407598017654481E-5,0.0,1,false,false,0.0
0.15554353358746953,0.5166666666666667,0.009951455652502668,0.0,1,true,false,1.0
0.0,0.005380150077870593,2.131456938060106E-4,0.0,1,false,false,0.0
0.42201150535607274,0.3888888888888889,0.0373511971928679,0.0,1,true,false,1.0
0.0,0.0625,0.0018058767203119257,0.0,1,false,false,0.0
0.9999999999927269,0.75,0.007251240756715245,0.0,3,true,false,1.0
0.9999999999927269,0.09090909090909091,0.06505149978319906,0.0,1,true,false,0.0
0.15554353358746953,0.6011579495186052,5.561397390182746E-5,0.0,1,false,false,1.0
0.15554353358746953,0.6011579495186052,5.561397390182746E-5,0.0,1,false,false,0.0
0.42201150535607274,0.3888888888888889,0.0373511971928679,0.0,1,true,false,1.0
1.0000110173947996,0.03571428571428571,1.0,0.0,5,true,false,0.0
0.9999999999927269,0.3333333333333333,0.001628985478920801,0.0,5,false,false,1.0
0.0,0.014285714285714285,0.007234496203062873,0.0,1,false,false,0.0
0.9999876477296534,0.3333333333333333,0.10946545296872044,0.0,3,false,false,1.0
0.0,0.033751205400192864,9.56661573008318E-4,0.0,1,false,false,0.0
0.03204535141156983,0.3546961325966851,1.0,0.0,3,false,false,1.0
0.03204535141156983,0.0039720231413522145,4.7875000171682484E-5,0.0,1,false,false,0.0
1.0212753882088084,0.542528735632184,1.0,0.0,5,false,false,1.0
0.2394178839811456,0.542528735632184,1.0,0.0,5,false,false,0.0
