% 1. Title: NERD ranker with basic and embeddings features 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 23-11-2018 10:59:33 
%
@RELATION @NERD_NERD_ranker_with_basic_and_embeddings_features 
@attribute prob_c REAL
@attribute relatedness REAL
@attribute context_quality REAL
@attribute nerKid_type {NotNER, ACRONYM, ANIMAL, ARTIFACT, AWARD, BUSINESS, CONCEPT, CONCEPTUAL, CREATION, EVENT, IDENTIFIER, INSTALLATION, INSTITUTION, LEGAL, LOCATION, MEASURE, MEDIA, NATIONAL, ORGANISATION, PERIOD, PERSON, PERSON_TYPE, PLANT, SPORT_TEAM, SUBSTANCE, TITLE, WEBSITE, OTHER}
@attribute bestCaseContext {false, true}
@attribute embeddings_centroid_similarity REAL
@attribute entity? REAL

@data

0.05787781350482315,0.020921105373183077,8.417089179166826,OTHER,true,17.737696,0.0
0.5102040816326531,0.2358949496942218,8.417089179166826,OTHER,true,51.0563,1.0
0.24489795918367346,0.04748820853482682,8.417089179166826,OTHER,true,27.843498,0.0
0.7333333333333333,0.2191058744182062,8.417089179166826,OTHER,true,0.0,1.0
0.06666666666666667,0.013077695442309559,8.417089179166826,OTHER,true,45.176456,0.0
0.9444444444444444,0.22365633208905114,8.417089179166826,OTHER,true,93.77963,1.0
0.05555555555555555,0.011820516152930012,8.417089179166826,OTHER,true,51.384796,0.0
0.8591549295774648,0.18060065623513125,8.417089179166826,OTHER,true,16.840189,1.0
0.1267605633802817,0.031631561031580296,8.417089179166826,OTHER,true,128.12189,0.0
0.1783783783783784,0.2250803770905139,8.417089179166826,OTHER,true,75.69373,1.0
0.15405405405405406,0.04730136800525662,8.417089179166826,OTHER,true,92.821335,0.0
0.09375,0.2203260606695256,8.417089179166826,PERSON,true,45.52513,1.0
0.20939565627950896,0.04135232063711298,8.417089179166826,PERSON,true,83.000755,0.0
0.6466876971608833,0.15477352099907232,8.417089179166826,CREATION,true,41.32904,1.0
0.12302839116719243,0.0,8.417089179166826,CREATION,true,31.069326,0.0
0.5555555555555556,0.18301445032425592,8.417089179166826,OTHER,false,20.80388,1.0
0.08333333333333333,0.047687574635302,8.417089179166826,OTHER,true,34.55778,0.0
0.7623821937036295,0.12181065782757029,8.417089179166826,CREATION,true,0.0,1.0
0.17024263084018448,0.07524984696469343,8.417089179166826,CREATION,true,0.0,0.0
0.18085106382978725,0.19381095749924368,8.417089179166826,CREATION,true,23.819656,1.0
0.05568445475638051,0.011052841828885699,8.417089179166826,PERSON,true,43.99263,0.0
0.7405541561712846,0.18056926052797942,8.417089179166826,PERSON,true,158.29982,1.0
0.05037783375314862,0.0,8.417089179166826,PERSON,true,40.61478,0.0
0.13031161473087818,0.1796475039886478,8.417089179166826,CREATION,true,29.655682,1.0
0.14950166112956811,0.10419901491239196,8.417089179166826,OTHER,false,81.23623,0.0
0.5154257507198684,0.18665218864372937,8.417089179166826,OTHER,false,74.46228,1.0
0.14849856026326613,0.03491526631844944,8.417089179166826,OTHER,false,68.68892,0.0
0.1,0.27272968768911976,10.116133626591509,OTHER,true,0.0,1.0
0.16589861751152074,0.0,10.116133626591509,OTHER,true,49.188366,0.0
0.21913380736910149,0.24373468936106113,10.116133626591509,CONCEPT,true,35.604977,1.0
0.10641564318034906,0.1388983164889714,10.116133626591509,OTHER,true,116.74527,0.0
0.14063529721892712,0.22909459957480863,10.116133626591509,CONCEPT,true,53.596348,1.0
0.5750348459036705,0.0,10.116133626591509,LOCATION,true,0.0,0.0
0.2304862939445563,0.22465207745449878,10.116133626591509,CONCEPT,true,0.0,1.0
0.12103143874864489,0.11131840983280834,10.116133626591509,OTHER,true,72.46822,0.0
0.28118218623481783,0.034482758620689655,10.116133626591509,CONCEPT,true,0.0,1.0
0.1474817813765182,0.0,10.116133626591509,OTHER,true,0.0,0.0
0.07894736842105263,0.2554817531252737,10.116133626591509,OTHER,true,96.53925,1.0
0.06367650476411806,0.21998812624419128,10.116133626591509,EVENT,true,0.0,0.0
0.6304137039431157,0.0,10.116133626591509,LOCATION,true,0.0,1.0
0.21913380736910149,0.24373468936106113,10.116133626591509,CONCEPT,true,12.930533,0.0
0.8260211800302572,0.2780680580984346,10.116133626591509,OTHER,true,14.761,1.0
0.14498234997478568,0.034482758620689655,10.116133626591509,OTHER,true,0.0,0.0
0.8260211800302572,0.2780680580984346,10.116133626591509,OTHER,true,0.0,1.0
0.14498234997478568,0.034482758620689655,10.116133626591509,OTHER,true,0.0,0.0
0.2697311361665221,0.17159983293199613,10.116133626591509,CREATION,true,0.0,1.0
0.19861231569817867,0.036005488426181655,10.116133626591509,PERSON,true,103.747574,0.0
0.4683972911963883,0.156113633866512,10.116133626591509,CREATION,true,0.09342994,1.0
0.255079006772009,0.04122442518887708,10.116133626591509,PERSON,true,0.0,0.0
0.625,0.16983725406124536,10.116133626591509,OTHER,true,106.73722,1.0
0.375,0.05310133986442868,10.116133626591509,CREATION,true,0.0,0.0
0.8493150684931506,0.18920026364802722,10.116133626591509,OTHER,true,44.537376,1.0
0.1506849315068493,0.02975159481753977,10.116133626591509,CREATION,true,51.104576,0.0
0.8411297440423654,0.13815954332425187,10.116133626591509,LOCATION,true,0.0,1.0
0.06222418358340689,0.010243679671385179,10.116133626591509,LOCATION,true,0.0,0.0
0.7733333333333333,0.2107021464786848,10.116133626591509,CREATION,true,13.173856,1.0
0.13333333333333333,0.0,10.116133626591509,OTHER,true,5.2195215,0.0
0.5989583333333334,0.3122171690764142,10.116133626591509,OTHER,true,0.0,1.0
