% 1. Title: NERD ranker with basic features 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 05-12-2018 18:02:00 
%
@RELATION @NERD_NERD_ranker_with_basic_features 
@attribute prob_c REAL
@attribute nerGrobid_type {NotNER, ACRONYM, ANIMAL, ARTIFACT, AWARD, BUSINESS, CONCEPT, CONCEPTUAL, CREATION, EVENT, IDENTIFIER, INSTALLATION, INSTITUTION, LEGAL, LOCATION, MEASURE, MEDIA, NATIONAL, ORGANISATION, PERIOD, PERSON, PERSON_TYPE, PLANT, SPORT_TEAM, SUBSTANCE, TITLE, WEBSITE, UNKNOWN}
@attribute entity? REAL

@data

0.05787781350482315,UNKNOWN,0.0
0.5102040816326531,UNKNOWN,1.0
0.24489795918367346,UNKNOWN,0.0
0.7333333333333333,UNKNOWN,1.0
0.06666666666666667,UNKNOWN,0.0
0.9444444444444444,UNKNOWN,1.0
0.05555555555555555,UNKNOWN,0.0
0.8591549295774648,UNKNOWN,1.0
0.1267605633802817,UNKNOWN,0.0
0.1783783783783784,UNKNOWN,1.0
0.15405405405405406,UNKNOWN,0.0
0.09375,PERSON,1.0
0.20939565627950896,PERSON,0.0
0.6466876971608833,CREATION,1.0
0.12302839116719243,CREATION,0.0
0.5555555555555556,UNKNOWN,1.0
0.08333333333333333,UNKNOWN,0.0
0.7623821937036295,CREATION,1.0
0.17024263084018448,CREATION,0.0
0.18085106382978725,UNKNOWN,1.0
0.05568445475638051,PERSON,0.0
0.7405541561712846,PERSON,1.0
0.05037783375314862,PERSON,0.0
0.13031161473087818,CREATION,1.0
0.14950166112956811,UNKNOWN,0.0
0.5154257507198684,UNKNOWN,1.0
0.14849856026326613,UNKNOWN,0.0
0.1,UNKNOWN,1.0
0.16589861751152074,UNKNOWN,0.0
0.21913380736910149,CONCEPT,1.0
0.10641564318034906,CONCEPT,0.0
0.14063529721892712,NATIONAL,1.0
0.5750348459036705,NATIONAL,0.0
0.2304862939445563,NATIONAL,1.0
0.12103143874864489,NATIONAL,0.0
0.28118218623481783,NATIONAL,1.0
0.1474817813765182,NATIONAL,0.0
0.07894736842105263,CONCEPT,1.0
0.06367650476411806,CONCEPT,0.0
0.6304137039431157,CONCEPT,1.0
0.21913380736910149,CONCEPT,0.0
0.8260211800302572,UNKNOWN,1.0
0.14498234997478568,UNKNOWN,0.0
0.8260211800302572,UNKNOWN,1.0
0.14498234997478568,UNKNOWN,0.0
0.2697311361665221,CREATION,1.0
0.19861231569817867,CREATION,0.0
0.4683972911963883,CREATION,1.0
0.255079006772009,CREATION,0.0
0.625,PERSON,1.0
0.375,PERSON,0.0
0.8493150684931506,LOCATION,1.0
0.1506849315068493,LOCATION,0.0
0.8411297440423654,LOCATION,1.0
0.06222418358340689,LOCATION,0.0
0.7733333333333333,EVENT,1.0
0.13333333333333333,EVENT,0.0
0.5989583333333334,UNKNOWN,1.0
0.34375,UNKNOWN,0.0
0.9872611464968153,UNKNOWN,1.0
0.08108108108108109,UNKNOWN,0.0
0.9940688018979834,UNKNOWN,1.0
0.27927927927927926,UNKNOWN,0.0
0.40229885057471265,PERSON,1.0
0.367816091954023,PERSON,0.0
0.678082191780822,UNKNOWN,1.0
0.19444444444444445,UNKNOWN,0.0
0.8888888888888888,PERSON,1.0
0.05982905982905983,PERSON,0.0
0.3855140186915888,UNKNOWN,1.0
0.2546728971962617,UNKNOWN,0.0
0.4715909090909091,UNKNOWN,1.0
0.08522727272727272,UNKNOWN,0.0
0.9087566844919787,CONCEPTUAL,1.0
0.0661764705882353,CONCEPTUAL,0.0
0.910062746920753,CONCEPT,1.0
0.06367650476411806,CONCEPT,0.0
0.9187675070028011,CONCEPT,1.0
0.056022408963585436,CONCEPT,0.0
0.3037037037037037,UNKNOWN,1.0
0.8686868686868687,UNKNOWN,0.0
0.10158730158730159,UNKNOWN,1.0
0.15151515151515152,UNKNOWN,0.0
0.3333333333333333,UNKNOWN,1.0
0.10714285714285714,UNKNOWN,0.0
0.09775086505190311,UNKNOWN,1.0
0.07042253521126761,UNKNOWN,0.0
0.910062746920753,CONCEPT,1.0
0.06367650476411806,CONCEPT,0.0
0.25925925925925924,UNKNOWN,1.0
0.17037037037037037,UNKNOWN,0.0
0.8936170212765957,UNKNOWN,1.0
0.10638297872340426,UNKNOWN,0.0
0.3758519961051607,UNKNOWN,1.0
0.20155793573515093,UNKNOWN,0.0
0.8333333333333334,UNKNOWN,1.0
0.16666666666666666,UNKNOWN,0.0
0.5128805620608899,PERSON_TYPE,1.0
0.2786885245901639,PERSON_TYPE,0.0
0.9452054794520548,CREATION,1.0
0.0547945205479452,CREATION,0.0
0.8914027149321267,PERSON,1.0
0.06787330316742081,PERSON,0.0
0.5839616175462645,LOCATION,1.0
0.40507196710075394,LOCATION,0.0
