% 1. Title: NERD ranker with basic and embeddings features 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 09-10-2018 11:15:16 
%
@RELATION @NERD_NERD_ranker_with_basic_and_embeddings_features 
@attribute prob_c REAL
@attribute relatedness REAL
@attribute context_quality REAL
@attribute ner_type {NotNER, PERSON, LOCATION, ORGANIZATION, ACRONYM, ANIMAL, ARTIFACT, BUSINESS, INSTITUTION, MEASURE, AWARD, CONCEPT, CONCEPTUAL, CREATION, EVENT, LEGAL, IDENTIFIER, INSTALLATION, MEDIA, NATIONAL, ORGANISATION, SUBSTANCE, PLANT, PERIOD, TITLE, PERSON_TYPE, WEBSITE, SPORT_TEAM, UNKNOWN}
@attribute bestCaseContext {false, true}
@attribute embeddings_centroid_similarity REAL
@attribute entity? REAL

@data

0.28118218623481783,0.0,8.430045151901242,NotNER,true,0.0,0.0
0.6521172638436482,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.09803437043693138,0.07214647615451722,8.430045151901242,NotNER,true,0.0,0.0
0.44105263157894736,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.28118218623481783,0.0,8.430045151901242,NotNER,true,0.0,0.0
0.6521172638436482,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.09803437043693138,0.07214647615451722,8.430045151901242,NotNER,true,0.0,0.0
0.5397951142631994,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.19621749408983452,0.0,8.430045151901242,NotNER,true,108.26025,0.0
0.3025210084033613,0.22768233046258296,8.430045151901242,NotNER,true,0.0,1.0
0.1484593837535014,0.009109083648527916,8.430045151901242,NotNER,true,0.0,0.0
0.5397951142631994,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.19621749408983452,0.0,8.430045151901242,NotNER,true,0.0,0.0
0.5176991150442478,0.26299756653259376,8.430045151901242,NotNER,true,0.0,1.0
0.29646017699115046,0.048047668317900215,8.430045151901242,NotNER,true,0.0,0.0
0.33000846330552536,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.08040140249062991,0.056103345302686604,8.430045151901242,NotNER,true,14.406983,0.0
0.5397951142631994,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.19621749408983452,0.0,8.430045151901242,NotNER,true,20.105438,0.0
0.5176991150442478,0.26299756653259376,8.430045151901242,NotNER,true,0.0,1.0
0.29646017699115046,0.048047668317900215,8.430045151901242,NotNER,true,12.476347,0.0
0.6521172638436482,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.09803437043693138,0.07214647615451722,8.430045151901242,NotNER,true,0.0,0.0
0.44105263157894736,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.28118218623481783,0.0,8.430045151901242,NotNER,true,0.0,0.0
0.6521172638436482,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.09803437043693138,0.07214647615451722,8.430045151901242,NotNER,true,0.0,0.0
0.8844734601192166,0.06254615807194613,8.430045151901242,NotNER,true,0.07836743,1.0
0.1058756741413568,0.04166970779664901,8.430045151901242,NotNER,true,24.84796,0.0
0.6521172638436482,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.09803437043693138,0.07214647615451722,8.430045151901242,NotNER,true,0.0,0.0
0.5397951142631994,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.19621749408983452,0.0,8.430045151901242,NotNER,true,132.1429,0.0
0.6521172638436482,0.0,8.430045151901242,NotNER,true,0.0,1.0
0.09803437043693138,0.07214647615451722,8.430045151901242,NotNER,true,0.0,0.0
0.8305084745762712,0.19999764168195755,4.941507486294095,NotNER,true,0.0,1.0
0.06779661016949153,0.06743548615326163,4.941507486294095,NotNER,true,116.363525,0.0
0.9552511199070892,0.05,4.941507486294095,NotNER,false,0.0,1.0
1.5406129269275438E-4,0.08102699583155609,4.941507486294095,NotNER,false,0.0,0.0
0.8305084745762712,0.19999764168195755,4.941507486294095,NotNER,true,0.0,1.0
0.06779661016949153,0.06743548615326163,4.941507486294095,NotNER,true,68.768845,0.0
0.27510809677372705,0.0,4.941507486294095,NotNER,true,0.0,1.0
0.22836979942444793,0.0,4.941507486294095,NotNER,true,92.94625,0.0
0.8305084745762712,0.19999764168195755,4.941507486294095,NotNER,true,0.0,1.0
0.06779661016949153,0.06743548615326163,4.941507486294095,NotNER,true,47.726864,0.0
0.8305084745762712,0.19999764168195755,4.941507486294095,NotNER,true,0.0,1.0
0.06779661016949153,0.06743548615326163,4.941507486294095,NotNER,true,0.0,0.0
0.09693053311793215,0.06666666666666667,4.339336147646493,NotNER,true,0.0,1.0
0.26336162671392593,0.20337872065936563,4.339336147646493,NotNER,true,0.0,0.0
0.0707395498392283,0.3263681554293243,4.339336147646493,NotNER,true,10.798337,1.0
0.05787781350482315,0.17361528113307517,4.339336147646493,NotNER,true,4.288506,0.0
0.09693053311793215,0.06666666666666667,4.339336147646493,NotNER,true,0.0,1.0
0.28118218623481783,0.0,2.3674500979072737,NotNER,true,0.0,0.0
0.44105263157894736,0.0,2.3674500979072737,NotNER,true,0.0,1.0
0.28118218623481783,0.0,2.3674500979072737,NotNER,true,0.0,0.0
0.11898016997167139,0.0,2.3674500979072737,NotNER,true,0.0,1.0
0.10269121813031161,0.0,2.3674500979072737,NotNER,true,0.0,0.0
0.44105263157894736,0.0,2.3674500979072737,NotNER,true,0.0,1.0
0.28118218623481783,0.0,2.3674500979072737,NotNER,true,0.0,0.0
0.44105263157894736,0.0,2.3674500979072737,NotNER,true,0.0,1.0
0.28118218623481783,0.0,2.3674500979072737,NotNER,true,0.0,0.0
