% 1. Title: Simple NERD selector 
%
% 2. Sources: 
% (a) Creator: (N)ERD 
% (c) Date: 04-01-2023 11:23:18 
%
@RELATION @NERD_Simple_NERD_selector 
@attribute nerd_score REAL
@attribute prob_anchor_string REAL
@attribute prob_c REAL
@attribute dice REAL
@attribute tf_idf REAL
@attribute nb_tokens NUMERIC
@attribute inContext {false, true}
@attribute isNe {false, true}
@attribute entity? REAL

@data

0.8074184545206284,1.0,0.9683257918552036,1.0,1117710.0,2,true,false,0.0
1.0392798812079835,1.0,1.0,1.0,61438.604651162794,2,true,false,1.0
0.8263613617600586,0.0,0.0,0.0,Infinity,4,false,false,0.0
0.8263613617600586,1.0,1.0,1.0,146770.0,2,false,false,1.0
0.8074184545206284,1.0,1.0,0.1505149978319906,1981395.0,1,true,false,0.0
0.8074184545206284,1.0,0.9090909090909091,0.8588182584953923,1320930.0,3,false,false,1.0
0.9247915810559768,1.0,0.09090909090909091,0.8588182584953923,1320930.0,3,true,false,0.0
0.8339385488533483,1.0,0.9968553459119497,0.09542425094393249,880620.0,2,true,false,1.0
0.8074184545206284,1.0,0.9683257918552036,1.0,1117710.0,2,true,false,0.0
0.8074184545206284,1.0,1.0,0.3067208066054973,440310.0,3,true,false,1.0
-0.024167489799156616,0.0,0.0,0.0,Infinity,2,false,false,0.0
0.924489702352827,1.0,0.6307692307692307,0.08993177050396874,132093.0,1,false,false,1.0
0.01926255730493485,1.0,0.36538461538461536,0.08993177050396874,132093.0,1,false,false,0.0
0.8074184545206284,1.0,0.7904761904761904,1.0,88062.0,2,false,false,1.0
0.9736025130916773,1.0,0.14761904761904762,1.0,88062.0,2,false,false,0.0
0.924489702352827,0.0,1.0,0.0,Infinity,3,true,false,1.0
0.6835534627352354,1.0,0.92,0.6020599913279624,660465.0,2,true,false,0.0
0.6835534627352354,1.0,1.0,1.0,330232.5,3,true,false,1.0
0.6674897025504266,0.0,1.0,0.0,Infinity,2,true,false,0.0
0.8315685589946545,1.0,1.0,1.0,220155.0,2,true,false,1.0
0.7433987318862862,1.0,0.3181818181818182,0.07840608393704543,528372.0,1,true,false,0.0
0.7433987318862862,0.0,1.0,0.0,Infinity,2,true,false,1.0
1.0392798812079835,1.0,1.0,1.0,660465.0,2,true,false,0.0
1.0392798812079835,0.0,1.0,0.0,Infinity,3,true,false,1.0
0.9227322097343791,0.0,1.0,0.0,Infinity,2,true,false,0.0
0.8074184545206284,1.0,1.0,0.1505149978319906,330232.5,1,true,false,1.0
-0.024165250681775472,0.0,1.0,0.0,Infinity,2,true,false,0.0
0.7098139960561151,1.0,1.0,1.0,82558.125,2,true,false,1.0
1.0392798812079835,1.0,1.0,1.0,660465.0,2,true,false,0.0
0.878646896010334,1.0,1.0,0.582475003613349,330232.5,2,true,false,1.0
-0.024167489799156616,1.0,0.9493670886075949,0.0752574989159953,352248.0,1,false,false,0.0
-0.02743133632694824,1.0,1.0,0.8588182584953923,440310.0,3,false,false,1.0
-0.02416773484972436,1.0,0.832258064516129,0.13979400086720378,264186.0,1,false,false,0.0
0.865562748056751,1.0,1.0,0.04139268515822508,1320930.0,2,true,false,1.0
-0.024183891089944096,1.0,0.0,0.04139268515822508,1320930.0,2,false,false,0.0
0.973616115791378,0.0,1.0,0.0,Infinity,3,false,false,1.0
-0.024185202979552154,0.0,0.75,0.0,Infinity,2,false,false,0.0
0.9741550463526655,0.0,1.0,0.0,Infinity,3,false,false,1.0
0.01926255730493485,1.0,0.5337677725118484,0.018827997735990278,12701.25,1,false,false,0.0
0.9939918034728624,1.0,1.0,0.5,146770.0,2,false,false,1.0
-0.024165250681775472,0.017549780627742154,0.7307692307692307,1.0,445.80830239622003,2,false,false,0.0
0.9332445605056592,1.0,0.08,0.7042411135682246,82558.125,2,false,false,1.0
-0.024167489799156616,1.0,0.05333333333333334,0.7042411135682246,82558.125,2,false,false,0.0
0.9146472201283716,1.0,0.9964285714285714,1.0,101610.0,3,true,false,1.0
0.9146472201283716,1.0,0.8756660746003553,0.03040393092349892,533006.8421052631,1,true,false,0.0
1.0001635463619423,0.0,1.0,0.0,Infinity,4,true,false,1.0
5.431567533766631E-5,1.0,0.88,1.0,19143.91304347826,2,false,false,0.0
0.7402721944253569,1.0,1.0,0.0037629713780204612,1320930.0,3,true,false,1.0
-2.1381813717156847E-7,1.0,1.0,0.19867691499156856,220155.0,2,true,false,0.0
0.8962944890609525,1.0,1.0,0.12072829143060812,377408.5714285714,1,true,false,1.0
-7.143891480641472E-7,0.02564102564102564,1.0,0.02664998682227906,33870.0,1,true,false,0.0
0.9998652457548696,1.0,1.0,0.12901285528456335,3962790.0,3,true,false,1.0
0.9146472201283716,1.0,0.8756660746003553,0.03040393092349892,533006.8421052631,1,true,false,0.0
0.6279595687524523,1.0,0.9943899018232819,0.05442205184503146,3487255.1999999997,1,true,false,1.0
-2.4613516475454756E-8,0.03125,1.0,1.0,371511.5625,2,true,false,0.0
0.9937020212841727,1.0,0.976878612716763,0.1296918750639406,1541085.0,1,true,false,1.0
-7.143891480641472E-7,1.0,0.14893617021276595,0.17109512602930452,203220.0,2,false,false,0.0
0.9436130844650525,0.0,1.0,0.0,Infinity,6,true,false,1.0
-2.4613516475454756E-8,0.0,0.5789473684210527,0.0,Infinity,2,false,false,0.0
0.78562146149998,1.0,0.058823529411764705,0.08600857018970891,3302325.0,2,false,false,1.0
-2.7561044357376433E-4,0.10714285714285714,0.3333333333333333,1.0,141528.2142857143,2,false,false,0.0
